Model,hidden_layer_sizes,activation,solver,alpha,learning_rate,max_iter,random_state,n_iter_,n_layers,n_outputs,Intercept,CLAY_coef,SAND_coef,OC_coef,log10Pot_coef
Final_MLP,"(5,)",relu,adam,0.0001,constant,2000.0,42.0,167.0,3.0,1.0,,,,,
Final_MLR,,,,,,,,,,,0.22605031099881248,0.32114883709732006,-0.09897467423722595,0.6158178682667723,-0.1704381709882199
